timestamp,male,female,aufmacher
1588104449.5211241,36,16,0
1588107958.467451,38,18,1
1588111616.6018574,37,17,0
1588115236.1622643,35,17,0
1588119140.7539546,35,17,0
1588122364.469902,35,17,0
1588126024.555913,35,17,0
1588129559.5997832,35,17,0
1588133194.6694148,35,18,1
1588136780.6514587,33,16,0
1588140357.4853623,33,14,0
1588143962.8106918,30,12,1
1588147577.7674882,28,14,1
1588151132.630013,27,15,1
1588154759.3088405,28,12,1
1588158347.6770473,30,11,0
1588162087.4376183,37,9,0
1588165670.0367703,36,9,1
1588169171.151867,35,9,1
1588172772.1243203,36,8,0
1588176411.8458908,30,14,1
1588179936.3555474,29,17,1
1588183620.9351602,27,20,1
1588187156.865411,29,18,1
1588190824.1503708,29,17,1
1588194384.3780992,30,16,0
1588197918.5318787,32,15,0
1588201566.6723185,32,15,0
1588205524.799214,32,14,0
1588208801.7278335,32,14,0
1588212423.0768898,32,14,0
1588216167.1235075,32,14,0
1588219664.1545339,32,14,0
1588223243.5541692,36,11,0
1588226951.461534,33,12,0
1588230414.02446,31,13,1
1588234053.1502206,35,13,1
1588237602.5720766,35,17,1
1588241145.85188,33,14,1
1588244776.708483,36,12,0
1588248463.0386705,38,11,1
1588251955.8219826,35,10,0
1588255530.2104542,36,11,0
1588259129.646651,35,15,0
1588262796.2032146,35,15,0
1588266416.6855912,33,15,0
1588269999.3345811,34,15,0
1588273567.4803574,32,14,0
1588277247.008367,32,16,0
1588280716.984624,31,18,0
1588284331.5445821,30,18,0
1588287950.1321666,29,18,0
1588291969.028401,29,18,0
1588295218.9546783,29,18,0
1588298917.3258388,29,18,0
1588302457.1532495,29,18,0
1588306177.7029793,29,18,0
1588309577.5936089,29,18,0
1588313243.3446913,27,18,1
1588316832.4292903,22,17,1
1588320374.5559952,21,17,0
1588323939.6789286,22,17,0
1588327578.3556852,21,19,0
1588331184.005861,24,17,0
1588334824.255626,25,18,0
1588338421.911693,23,18,0
1588341986.4873893,23,20,0
1588345611.9475994,23,20,1
1588349298.3995354,24,21,1
1588352970.0273933,24,20,1
1588356507.0793371,24,20,0
1588360000.5335772,24,20,0
1588363599.2833903,23,20,0
1588367140.5888119,27,21,0
1588370783.1201577,27,21,0
1588374362.3863618,27,21,0
1588378352.4744818,27,21,0
1588381711.8778863,27,21,0
1588385240.3726237,27,21,0
1588388794.9591236,27,21,0
1588392616.295262,27,21,0
1588396097.7783532,27,21,0
1588399690.7898047,25,21,0
1588403279.6977022,25,19,0
1588406781.1909266,24,17,0
1588410574.1163974,25,16,0
1588414087.4096246,25,15,0
1588417577.2560172,22,16,0
1588421313.931137,21,15,0
1588424802.211245,24,15,0
1588428460.0979667,22,15,0
1588432264.0949824,25,16,0
1588435604.478981,25,17,0
1588439264.6313896,23,17,1
1588442897.1447377,23,19,1
1588446451.1223042,23,18,1
1588450288.354123,22,18,1
1588453645.5154324,22,18,0
1588457188.2068822,22,18,0
1588460770.1544476,22,17,0
1588464765.255216,22,17,0
1588468207.4492302,22,17,0
1588471696.9985044,22,17,0
1588475255.6408207,22,17,0
1588478964.235226,22,17,0
1588482517.9018044,22,17,0
1588486026.3900623,24,14,0
1588489750.1471722,25,15,0
1588493261.1756287,28,14,0
1588496919.5789049,30,13,0
1588500491.0503318,30,13,0
